epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,1.12042e+00,1.03235e+00,1.80802e+01,1.12410e+00,1.03662e+00,1.81256e+01,1.12766e+00,1.04053e+00,1.81151e+01
1,14.766434,1.100407,4.52666e-02,2.33915e-02,7.30466e-01,4.94864e-02,2.39154e-02,7.97943e-01,5.32779e-02,2.44329e-02,8.55873e-01
2,15.852940,1.936953,4.07506e-02,2.07357e-02,6.57592e-01,4.62426e-02,2.19604e-02,7.45639e-01,5.09883e-02,2.31695e-02,8.19092e-01
3,16.972145,2.796955,4.02429e-02,2.03944e-02,6.49399e-01,4.58865e-02,2.17183e-02,7.39897e-01,5.07521e-02,2.30249e-02,8.15298e-01
4,17.982150,3.631600,4.00024e-02,2.02046e-02,6.45519e-01,4.57203e-02,2.15894e-02,7.37217e-01,5.06392e-02,2.29491e-02,8.13484e-01
5,19.101840,4.473359,3.98816e-02,2.01099e-02,6.43568e-01,4.56406e-02,2.15245e-02,7.35931e-01,5.05836e-02,2.29118e-02,8.12590e-01
6,20.216859,5.407645,3.98284e-02,2.00807e-02,6.42710e-01,4.56074e-02,2.15043e-02,7.35396e-01,5.05596e-02,2.28992e-02,8.12205e-01
7,21.248431,6.255813,3.98060e-02,2.00745e-02,6.42350e-01,4.55945e-02,2.15004e-02,7.35187e-01,5.05498e-02,2.28961e-02,8.12048e-01
8,22.373117,7.149811,3.97965e-02,2.00749e-02,6.42196e-01,4.55896e-02,2.15008e-02,7.35109e-01,5.05460e-02,2.28955e-02,8.11987e-01
9,23.509492,8.092687,3.97923e-02,2.00763e-02,6.42127e-01,4.55879e-02,2.15018e-02,7.35081e-01,5.05446e-02,2.28956e-02,8.11964e-01
10,24.600431,8.987137,3.97901e-02,2.00776e-02,6.42093e-01,4.55873e-02,2.15026e-02,7.35072e-01,5.05441e-02,2.28959e-02,8.11956e-01
11,25.704433,9.893582,3.97889e-02,2.00785e-02,6.42073e-01,4.55872e-02,2.15032e-02,7.35070e-01,5.05440e-02,2.28961e-02,8.11955e-01
12,26.811327,10.815211,3.97880e-02,2.00791e-02,6.42058e-01,4.55872e-02,2.15037e-02,7.35070e-01,5.05441e-02,2.28962e-02,8.11955e-01
13,27.908433,11.717553,3.97873e-02,2.00794e-02,6.42047e-01,4.55872e-02,2.15040e-02,7.35071e-01,5.05442e-02,2.28964e-02,8.11957e-01
14,28.979431,12.617266,3.97866e-02,2.00796e-02,6.42036e-01,4.55873e-02,2.15042e-02,7.35071e-01,5.05443e-02,2.28965e-02,8.11959e-01
