epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,8.65784e-01,7.80216e-01,1.49413e+01,9.12361e-01,8.21781e-01,1.54605e+01,9.17795e-01,8.26634e-01,1.55254e+01
1,18.251239,1.150878,5.60494e-02,5.40685e-02,9.67277e-01,5.90014e-02,5.68335e-02,9.99813e-01,5.91066e-02,5.69033e-02,9.99844e-01
2,20.089585,2.233188,5.15963e-02,4.56759e-02,8.90427e-01,5.90054e-02,5.68380e-02,9.99881e-01,5.91096e-02,5.69067e-02,9.99895e-01
3,22.068282,3.350530,5.09927e-02,4.39978e-02,8.80010e-01,5.90120e-02,5.68459e-02,9.99994e-01,5.91157e-02,5.69139e-02,9.99998e-01
4,23.961895,4.477177,5.08214e-02,4.35147e-02,8.77054e-01,5.90121e-02,5.68460e-02,9.99995e-01,5.91157e-02,5.69140e-02,9.99998e-01
5,25.871773,5.550976,5.07541e-02,4.32751e-02,8.75893e-01,5.90122e-02,5.68461e-02,9.99996e-01,5.91157e-02,5.69140e-02,9.99999e-01
6,27.841611,6.697423,5.07758e-02,4.31325e-02,8.76268e-01,5.90122e-02,5.68461e-02,9.99997e-01,5.91157e-02,5.69140e-02,9.99999e-01
7,29.599882,7.736776,5.07852e-02,4.30821e-02,8.76429e-01,5.90122e-02,5.68462e-02,9.99997e-01,5.91157e-02,5.69140e-02,9.99999e-01
8,31.396412,8.741241,5.07876e-02,4.30661e-02,8.76471e-01,5.90123e-02,5.68462e-02,9.99997e-01,5.91157e-02,5.69140e-02,9.99999e-01
9,33.302018,9.915648,5.07882e-02,4.30597e-02,8.76481e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
10,35.206016,11.087361,5.07883e-02,4.30565e-02,8.76483e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
11,37.106015,12.268288,5.07884e-02,4.30545e-02,8.76484e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
12,39.095705,13.395667,5.07884e-02,4.30530e-02,8.76484e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
13,40.950581,14.492253,5.07884e-02,4.30519e-02,8.76485e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
14,42.845078,15.640003,5.07884e-02,4.30511e-02,8.76485e-01,5.90123e-02,5.68462e-02,9.99998e-01,5.91157e-02,5.69140e-02,9.99999e-01
