epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,1.16650e+00,1.09904e+00,4.22416e+02,1.16211e+00,1.09453e+00,4.36138e+02,1.15643e+00,1.08865e+00,4.54371e+02
1,10.131372,1.002734,1.80246e-03,1.63516e-04,6.52714e-01,2.60066e-03,1.79091e-04,9.76022e-01,2.48859e-03,1.84649e-04,9.77791e-01
2,11.046277,1.814568,1.22915e-03,1.50146e-04,4.45104e-01,2.48046e-03,1.76679e-04,9.30913e-01,2.43531e-03,1.85576e-04,9.56858e-01
3,11.938230,2.598183,1.06058e-03,1.40529e-04,3.84059e-01,2.48985e-03,1.73535e-04,9.34437e-01,2.43922e-03,1.83402e-04,9.58393e-01
4,12.798564,3.338556,1.02713e-03,1.37595e-04,3.71948e-01,2.52318e-03,1.72929e-04,9.46945e-01,2.45699e-03,1.82286e-04,9.65377e-01
5,13.699321,4.100003,1.01919e-03,1.36364e-04,3.69071e-01,2.53428e-03,1.72119e-04,9.51112e-01,2.46280e-03,1.81412e-04,9.67660e-01
6,14.516363,4.813554,1.01231e-03,1.35479e-04,3.66581e-01,2.53381e-03,1.71379e-04,9.50935e-01,2.46319e-03,1.80868e-04,9.67812e-01
7,15.393356,5.581583,1.00497e-03,1.34661e-04,3.63921e-01,2.53025e-03,1.70855e-04,9.49598e-01,2.46200e-03,1.80555e-04,9.67346e-01
8,16.260360,6.305208,9.95579e-04,1.33514e-04,3.60522e-01,2.52498e-03,1.70210e-04,9.47622e-01,2.45988e-03,1.80228e-04,9.66512e-01
9,17.153365,7.107176,9.82396e-04,1.31760e-04,3.55748e-01,2.51910e-03,1.69258e-04,9.45416e-01,2.45758e-03,1.79731e-04,9.65608e-01
10,18.084592,7.921509,9.65502e-04,1.29448e-04,3.49631e-01,2.51637e-03,1.68055e-04,9.44389e-01,2.45735e-03,1.79029e-04,9.65517e-01
11,19.113442,8.810106,9.50029e-04,1.27208e-04,3.44028e-01,2.52151e-03,1.66987e-04,9.46319e-01,2.46164e-03,1.78313e-04,9.67201e-01
12,20.088020,9.633574,9.41549e-04,1.25956e-04,3.40957e-01,2.52951e-03,1.66472e-04,9.49322e-01,2.46692e-03,1.77889e-04,9.69276e-01
13,21.056367,10.454082,9.38072e-04,1.25545e-04,3.39698e-01,2.53365e-03,1.66332e-04,9.50874e-01,2.46951e-03,1.77751e-04,9.70293e-01
14,22.055823,11.318936,9.36411e-04,1.25382e-04,3.39096e-01,2.53508e-03,1.66305e-04,9.51413e-01,2.47039e-03,1.77704e-04,9.70639e-01
15,22.985874,12.143660,9.35367e-04,1.25277e-04,3.38718e-01,2.53559e-03,1.66277e-04,9.51603e-01,2.47067e-03,1.77675e-04,9.70751e-01
16,23.861860,12.913474,9.34567e-04,1.25186e-04,3.38428e-01,2.53581e-03,1.66239e-04,9.51686e-01,2.47075e-03,1.77648e-04,9.70783e-01
17,24.808358,13.717141,9.33855e-04,1.25104e-04,3.38170e-01,2.53594e-03,1.66199e-04,9.51733e-01,2.47077e-03,1.77622e-04,9.70789e-01
18,25.683370,14.491373,9.33124e-04,1.25027e-04,3.37906e-01,2.53604e-03,1.66158e-04,9.51771e-01,2.47076e-03,1.77599e-04,9.70788e-01
19,26.598826,15.285169,9.32271e-04,1.24952e-04,3.37597e-01,2.53616e-03,1.66113e-04,9.51817e-01,2.47078e-03,1.77577e-04,9.70792e-01
20,27.573804,16.151651,9.31134e-04,1.24879e-04,3.37185e-01,2.53635e-03,1.66065e-04,9.51889e-01,2.47083e-03,1.77560e-04,9.70813e-01
21,28.458373,16.906629,9.29377e-04,1.24812e-04,3.36549e-01,2.53671e-03,1.66022e-04,9.52025e-01,2.47097e-03,1.77554e-04,9.70870e-01
22,29.411263,17.718075,9.26131e-04,1.24753e-04,3.35374e-01,2.53751e-03,1.65981e-04,9.52324e-01,2.47133e-03,1.77564e-04,9.71008e-01
23,30.342421,18.550388,9.18629e-04,1.24669e-04,3.32657e-01,2.53964e-03,1.65957e-04,9.53123e-01,2.47221e-03,1.77600e-04,9.71355e-01
24,31.324357,19.418884,8.97820e-04,1.24492e-04,3.25121e-01,2.54619e-03,1.66054e-04,9.55580e-01,2.47413e-03,1.77698e-04,9.72108e-01
25,32.237360,20.218174,8.59340e-04,1.23925e-04,3.11187e-01,2.55948e-03,1.66391e-04,9.60570e-01,2.47396e-03,1.77731e-04,9.72043e-01
26,33.186241,21.044519,8.37905e-04,1.22574e-04,3.03425e-01,2.56682e-03,1.65953e-04,9.63324e-01,2.47195e-03,1.77191e-04,9.71253e-01
27,34.149371,21.905138,8.32118e-04,1.21522e-04,3.01329e-01,2.56979e-03,1.65243e-04,9.64440e-01,2.47264e-03,1.76673e-04,9.71526e-01
28,35.109483,22.754114,8.30933e-04,1.21086e-04,3.00900e-01,2.57081e-03,1.64979e-04,9.64820e-01,2.47287e-03,1.76458e-04,9.71614e-01
29,36.045800,23.593772,8.30467e-04,1.20845e-04,3.00731e-01,2.57077e-03,1.64836e-04,9.64805e-01,2.47267e-03,1.76348e-04,9.71535e-01
30,37.027708,24.483054,8.30189e-04,1.20692e-04,3.00631e-01,2.57048e-03,1.64749e-04,9.64698e-01,2.47245e-03,1.76280e-04,9.71448e-01
31,37.961387,25.312083,8.29991e-04,1.20585e-04,3.00559e-01,2.57018e-03,1.64688e-04,9.64585e-01,2.47227e-03,1.76231e-04,9.71380e-01
32,38.872088,26.125098,8.29835e-04,1.20502e-04,3.00503e-01,2.56991e-03,1.64643e-04,9.64485e-01,2.47214e-03,1.76194e-04,9.71328e-01
33,39.709740,26.869512,8.29706e-04,1.20435e-04,3.00456e-01,2.56969e-03,1.64607e-04,9.64400e-01,2.47204e-03,1.76164e-04,9.71289e-01
34,40.688928,27.706723,8.29594e-04,1.20377e-04,3.00415e-01,2.56950e-03,1.64578e-04,9.64328e-01,2.47196e-03,1.76140e-04,9.71259e-01
35,41.680395,28.586872,8.29496e-04,1.20327e-04,3.00380e-01,2.56934e-03,1.64552e-04,9.64267e-01,2.47190e-03,1.76120e-04,9.71234e-01
36,42.670408,29.422129,8.29408e-04,1.20282e-04,3.00348e-01,2.56920e-03,1.64530e-04,9.64216e-01,2.47185e-03,1.76104e-04,9.71215e-01
37,43.577664,30.204845,8.29328e-04,1.20242e-04,3.00319e-01,2.56908e-03,1.64510e-04,9.64171e-01,2.47181e-03,1.76089e-04,9.71199e-01
38,44.494354,31.020602,8.29254e-04,1.20206e-04,3.00292e-01,2.56897e-03,1.64492e-04,9.64132e-01,2.47178e-03,1.76076e-04,9.71186e-01
39,45.411500,31.843023,8.29186e-04,1.20172e-04,3.00268e-01,2.56888e-03,1.64475e-04,9.64097e-01,2.47175e-03,1.76065e-04,9.71174e-01
40,46.330726,32.665289,8.29124e-04,1.20141e-04,3.00245e-01,2.56880e-03,1.64460e-04,9.64067e-01,2.47172e-03,1.76054e-04,9.71164e-01
41,47.312265,33.532198,8.29065e-04,1.20112e-04,3.00224e-01,2.56873e-03,1.64446e-04,9.64039e-01,2.47170e-03,1.76045e-04,9.71156e-01
42,48.258406,34.390366,8.29010e-04,1.20085e-04,3.00204e-01,2.56866e-03,1.64432e-04,9.64014e-01,2.47168e-03,1.76036e-04,9.71148e-01
