epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,1.07441e+00,9.89263e-01,1.60073e+02,1.06372e+00,9.81310e-01,1.66557e+02,1.05292e+00,9.73422e-01,1.65692e+02
1,22.555756,1.133709,4.40381e-03,7.87396e-04,6.56110e-01,4.80347e-03,8.42700e-04,7.52127e-01,5.35253e-03,8.97330e-04,8.42303e-01
2,23.771424,1.997327,3.98979e-03,7.07973e-04,5.94427e-01,4.55818e-03,8.00268e-04,7.13721e-01,5.22897e-03,8.89262e-04,8.22859e-01
3,25.075182,2.944644,3.95142e-03,6.96828e-04,5.88710e-01,4.53038e-03,7.92910e-04,7.09367e-01,5.21597e-03,8.85640e-04,8.20813e-01
4,26.224415,3.791714,3.93554e-03,6.92371e-04,5.86344e-01,4.52134e-03,7.90170e-04,7.07952e-01,5.21289e-03,8.84995e-04,8.20329e-01
5,27.391717,4.695488,3.92743e-03,6.89848e-04,5.85136e-01,4.51792e-03,7.88765e-04,7.07416e-01,5.21220e-03,8.84953e-04,8.20220e-01
6,28.569196,5.586689,3.92332e-03,6.88774e-04,5.84523e-01,4.51659e-03,7.88298e-04,7.07208e-01,5.21210e-03,8.85180e-04,8.20203e-01
7,29.760921,6.476758,3.92090e-03,6.88292e-04,5.84163e-01,4.51610e-03,7.88202e-04,7.07132e-01,5.21226e-03,8.85481e-04,8.20229e-01
8,31.115997,7.436662,3.91921e-03,6.88027e-04,5.83911e-01,4.51599e-03,7.88222e-04,7.07114e-01,5.21255e-03,8.85757e-04,8.20275e-01
9,32.235931,8.295586,3.91786e-03,6.87862e-04,5.83711e-01,4.51605e-03,7.88265e-04,7.07124e-01,5.21291e-03,8.85990e-04,8.20331e-01
10,33.413767,9.198146,3.91670e-03,6.87759e-04,5.83537e-01,4.51622e-03,7.88315e-04,7.07151e-01,5.21331e-03,8.86187e-04,8.20395e-01
11,34.572307,10.053261,3.91563e-03,6.87700e-04,5.83378e-01,4.51647e-03,7.88375e-04,7.07190e-01,5.21376e-03,8.86357e-04,8.20465e-01
12,35.733117,10.952618,3.91464e-03,6.87676e-04,5.83229e-01,4.51679e-03,7.88440e-04,7.07240e-01,5.21425e-03,8.86509e-04,8.20542e-01
13,36.881759,11.852067,3.91369e-03,6.87678e-04,5.83088e-01,4.51719e-03,7.88511e-04,7.07302e-01,5.21479e-03,8.86651e-04,8.20627e-01
14,38.102566,12.831795,3.91278e-03,6.87696e-04,5.82953e-01,4.51765e-03,7.88588e-04,7.07374e-01,5.21538e-03,8.86786e-04,8.20720e-01
15,39.312760,13.758602,3.91191e-03,6.87725e-04,5.82823e-01,4.51817e-03,7.88669e-04,7.07455e-01,5.21601e-03,8.86913e-04,8.20820e-01
16,40.561690,14.709664,3.91107e-03,6.87755e-04,5.82698e-01,4.51873e-03,7.88751e-04,7.07543e-01,5.21668e-03,8.87033e-04,8.20924e-01
17,41.774834,15.651196,3.91026e-03,6.87776e-04,5.82578e-01,4.51930e-03,7.88822e-04,7.07632e-01,5.21735e-03,8.87139e-04,8.21030e-01
18,42.971216,16.591361,3.90948e-03,6.87783e-04,5.82461e-01,4.51985e-03,7.88873e-04,7.07719e-01,5.21801e-03,8.87228e-04,8.21134e-01
19,44.275761,17.570388,3.90873e-03,6.87771e-04,5.82349e-01,4.52036e-03,7.88910e-04,7.07798e-01,5.21862e-03,8.87296e-04,8.21231e-01
20,45.535836,18.538317,3.90800e-03,6.87739e-04,5.82242e-01,4.52081e-03,7.88927e-04,7.07868e-01,5.21918e-03,8.87344e-04,8.21319e-01
21,46.786976,19.527144,3.90732e-03,6.87691e-04,5.82139e-01,4.52118e-03,7.88930e-04,7.07926e-01,5.21967e-03,8.87373e-04,8.21395e-01
22,48.073045,20.502562,3.90667e-03,6.87631e-04,5.82042e-01,4.52148e-03,7.88921e-04,7.07974e-01,5.22008e-03,8.87388e-04,8.21461e-01
23,49.303081,21.448824,3.90606e-03,6.87563e-04,5.81952e-01,4.52173e-03,7.88902e-04,7.08012e-01,5.22043e-03,8.87390e-04,8.21515e-01
24,50.514467,22.376293,3.90550e-03,6.87489e-04,5.81868e-01,4.52192e-03,7.88875e-04,7.08042e-01,5.22072e-03,8.87385e-04,8.21561e-01
25,51.749761,23.318099,3.90498e-03,6.87410e-04,5.81791e-01,4.52207e-03,7.88843e-04,7.08067e-01,5.22096e-03,8.87373e-04,8.21598e-01
26,53.006765,24.302750,3.90451e-03,6.87330e-04,5.81721e-01,4.52220e-03,7.88807e-04,7.08086e-01,5.22115e-03,8.87358e-04,8.21629e-01
27,54.337436,25.291745,3.90408e-03,6.87250e-04,5.81657e-01,4.52230e-03,7.88769e-04,7.08102e-01,5.22132e-03,8.87343e-04,8.21655e-01
28,55.602761,26.284120,3.90370e-03,6.87172e-04,5.81600e-01,4.52239e-03,7.88733e-04,7.08116e-01,5.22146e-03,8.87327e-04,8.21677e-01
29,56.885705,27.286842,3.90335e-03,6.87098e-04,5.81548e-01,4.52246e-03,7.88698e-04,7.08127e-01,5.22158e-03,8.87311e-04,8.21696e-01
30,58.129763,28.200619,3.90304e-03,6.87027e-04,5.81502e-01,4.52253e-03,7.88665e-04,7.08137e-01,5.22168e-03,8.87296e-04,8.21712e-01
31,59.278765,29.107678,3.90276e-03,6.86961e-04,5.81460e-01,4.52258e-03,7.88635e-04,7.08146e-01,5.22177e-03,8.87282e-04,8.21725e-01
32,60.472954,30.006885,3.90251e-03,6.86900e-04,5.81423e-01,4.52263e-03,7.88608e-04,7.08154e-01,5.22184e-03,8.87268e-04,8.21737e-01
33,61.641759,30.888137,3.90229e-03,6.86843e-04,5.81390e-01,4.52268e-03,7.88584e-04,7.08161e-01,5.22191e-03,8.87255e-04,8.21747e-01
