epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,5.61464e-01,4.41765e-01,9.06034e+00,5.62646e-01,4.42747e-01,9.07237e+00,5.64102e-01,4.43741e-01,9.06190e+00
1,26.763007,0.244372,5.60208e-01,4.40777e-01,9.04007e+00,5.61407e-01,4.41774e-01,9.05241e+00,5.62880e-01,4.42781e-01,9.04229e+00
2,27.547019,0.469951,5.58958e-01,4.39793e-01,9.01989e+00,5.60175e-01,4.40804e-01,9.03253e+00,5.61665e-01,4.41826e-01,9.02276e+00
3,28.328675,0.694213,5.57651e-01,4.38766e-01,8.99881e+00,5.58887e-01,4.39791e-01,9.01177e+00,5.60395e-01,4.40828e-01,9.00235e+00
4,29.167038,0.921549,5.56286e-01,4.37693e-01,8.97678e+00,5.57542e-01,4.38733e-01,8.99007e+00,5.59068e-01,4.39784e-01,8.98104e+00
5,29.995025,1.148446,5.54861e-01,4.36572e-01,8.95378e+00,5.56136e-01,4.37628e-01,8.96741e+00,5.57681e-01,4.38695e-01,8.95877e+00
6,30.785053,1.380112,5.53373e-01,4.35401e-01,8.92977e+00,5.54669e-01,4.36474e-01,8.94375e+00,5.56234e-01,4.37557e-01,8.93551e+00
7,31.555795,1.594997,5.51819e-01,4.34179e-01,8.90469e+00,5.53137e-01,4.35269e-01,8.91905e+00,5.54722e-01,4.36369e-01,8.91123e+00
8,32.350118,1.833709,5.50198e-01,4.32904e-01,8.87853e+00,5.51538e-01,4.34012e-01,8.89327e+00,5.53145e-01,4.35129e-01,8.88589e+00
9,33.153325,2.074705,5.48506e-01,4.31574e-01,8.85124e+00,5.49870e-01,4.32700e-01,8.86637e+00,5.51499e-01,4.33835e-01,8.85945e+00
10,33.953721,2.319920,5.46742e-01,4.30186e-01,8.82277e+00,5.48130e-01,4.31332e-01,8.83831e+00,5.49782e-01,4.32485e-01,8.83186e+00
11,34.726227,2.549851,5.44903e-01,4.28740e-01,8.79308e+00,5.46315e-01,4.29905e-01,8.80906e+00,5.47991e-01,4.31077e-01,8.80309e+00
12,35.539438,2.774599,5.42985e-01,4.27232e-01,8.76215e+00,5.44424e-01,4.28417e-01,8.77856e+00,5.46124e-01,4.29610e-01,8.77310e+00
13,36.347078,2.987100,5.40988e-01,4.25661e-01,8.72991e+00,5.42453e-01,4.26867e-01,8.74678e+00,5.44178e-01,4.28080e-01,8.74185e+00
14,37.121812,3.188004,5.38907e-01,4.24024e-01,8.69633e+00,5.40400e-01,4.25253e-01,8.71367e+00,5.42151e-01,4.26487e-01,8.70928e+00
15,37.898615,3.397778,5.36740e-01,4.22320e-01,8.66137e+00,5.38262e-01,4.23571e-01,8.67920e+00,5.40040e-01,4.24827e-01,8.67537e+00
16,38.718118,3.612785,5.34485e-01,4.20547e-01,8.62498e+00,5.36036e-01,4.21821e-01,8.64331e+00,5.37842e-01,4.23100e-01,8.64007e+00
17,39.499097,3.820608,5.32139e-01,4.18702e-01,8.58712e+00,5.33721e-01,4.20000e-01,8.60597e+00,5.35555e-01,4.21302e-01,8.60332e+00
18,40.332737,4.026125,5.29700e-01,4.16783e-01,8.54775e+00,5.31312e-01,4.18105e-01,8.56713e+00,5.33176e-01,4.19431e-01,8.56510e+00
19,41.096488,4.230715,5.27163e-01,4.14788e-01,8.50682e+00,5.28808e-01,4.16136e-01,8.52675e+00,5.30702e-01,4.17486e-01,8.52536e+00
20,41.839519,4.432569,5.24528e-01,4.12715e-01,8.46430e+00,5.26205e-01,4.14089e-01,8.48479e+00,5.28131e-01,4.15465e-01,8.48405e+00
21,42.585467,4.629493,5.21791e-01,4.10562e-01,8.42013e+00,5.23502e-01,4.11963e-01,8.44120e+00,5.25459e-01,4.13365e-01,8.44114e+00
22,43.319262,4.829533,5.18949e-01,4.08328e-01,8.37428e+00,5.20696e-01,4.09755e-01,8.39595e+00,5.22685e-01,4.11184e-01,8.39658e+00
23,44.101258,5.001594,5.16001e-01,4.06009e-01,8.32670e+00,5.17783e-01,4.07465e-01,8.34898e+00,5.19806e-01,4.08921e-01,8.35032e+00
24,44.875918,5.195610,5.12944e-01,4.03604e-01,8.27736e+00,5.14762e-01,4.05089e-01,8.30027e+00,5.16819e-01,4.06573e-01,8.30234e+00
25,45.659661,5.409494,5.09775e-01,4.01111e-01,8.22622e+00,5.11630e-01,4.02625e-01,8.24977e+00,5.13722e-01,4.04138e-01,8.25259e+00
26,46.441015,5.630943,5.06492e-01,3.98529e-01,8.17325e+00,5.08385e-01,4.00073e-01,8.19745e+00,5.10512e-01,4.01615e-01,8.20103e+00
27,47.219515,5.852033,5.03093e-01,3.95856e-01,8.11840e+00,5.05025e-01,3.97430e-01,8.14327e+00,5.07188e-01,3.99002e-01,8.14763e+00
28,47.991712,6.064052,4.99576e-01,3.93090e-01,8.06165e+00,5.01547e-01,3.94695e-01,8.08719e+00,5.03748e-01,3.96297e-01,8.09236e+00
29,48.885566,6.270308,4.95939e-01,3.90229e-01,8.00296e+00,4.97950e-01,3.91866e-01,8.02919e+00,5.00188e-01,3.93498e-01,8.03517e+00
30,49.777849,6.462516,4.92181e-01,3.87273e-01,7.94231e+00,4.94233e-01,3.88941e-01,7.96925e+00,4.96508e-01,3.90605e-01,7.97605e+00
31,50.898571,6.668013,4.88299e-01,3.84219e-01,7.87967e+00,4.90392e-01,3.85921e-01,7.90732e+00,4.92705e-01,3.87615e-01,7.91497e+00
32,51.832655,6.905056,4.84293e-01,3.81068e-01,7.81503e+00,4.86427e-01,3.82802e-01,7.84339e+00,4.88779e-01,3.84529e-01,7.85190e+00
33,52.667687,7.084678,4.80161e-01,3.77818e-01,7.74836e+00,4.82338e-01,3.79585e-01,7.77745e+00,4.84728e-01,3.81344e-01,7.78682e+00
34,53.428707,7.297135,4.75903e-01,3.74469e-01,7.67964e+00,4.78122e-01,3.76269e-01,7.70946e+00,4.80551e-01,3.78060e-01,7.71972e+00
35,54.296584,7.509943,4.71518e-01,3.71019e-01,7.60888e+00,4.73779e-01,3.72853e-01,7.63944e+00,4.76247e-01,3.74676e-01,7.65058e+00
36,55.456432,7.729863,4.67005e-01,3.67469e-01,7.53605e+00,4.69308e-01,3.69336e-01,7.56735e+00,4.71816e-01,3.71192e-01,7.57939e+00
37,56.805805,7.950192,4.62365e-01,3.63819e-01,7.46117e+00,4.64710e-01,3.65719e-01,7.49321e+00,4.67257e-01,3.67607e-01,7.50615e+00
38,58.166812,8.171596,4.57597e-01,3.60068e-01,7.38423e+00,4.59985e-01,3.62002e-01,7.41702e+00,4.62570e-01,3.63922e-01,7.43086e+00
39,58.984097,8.376989,4.52702e-01,3.56217e-01,7.30524e+00,4.55132e-01,3.58185e-01,7.33877e+00,4.57755e-01,3.60136e-01,7.35353e+00
40,59.784693,8.600674,4.47681e-01,3.52267e-01,7.22422e+00,4.50153e-01,3.54268e-01,7.25848e+00,4.52814e-01,3.56251e-01,7.27415e+00
41,60.533509,8.816621,4.42535e-01,3.48219e-01,7.14119e+00,4.45049e-01,3.50252e-01,7.17618e+00,4.47748e-01,3.52267e-01,7.19275e+00
42,61.313568,9.038109,4.37266e-01,3.44073e-01,7.05616e+00,4.39820e-01,3.46139e-01,7.09188e+00,4.42556e-01,3.48185e-01,7.10936e+00
43,62.092752,9.241614,4.31876e-01,3.39832e-01,6.96918e+00,4.34470e-01,3.41930e-01,7.00561e+00,4.37242e-01,3.44005e-01,7.02399e+00
44,62.845547,9.452969,4.26367e-01,3.35498e-01,6.88027e+00,4.29000e-01,3.37626e-01,6.91740e+00,4.31807e-01,3.39731e-01,6.93667e+00
45,63.624619,9.673682,4.20741e-01,3.31071e-01,6.78949e+00,4.23412e-01,3.33230e-01,6.82731e+00,4.26253e-01,3.35364e-01,6.84746e+00
46,64.382974,9.878291,4.15002e-01,3.26555e-01,6.69688e+00,4.17710e-01,3.28743e-01,6.73536e+00,4.20584e-01,3.30905e-01,6.75639e+00
47,65.137031,10.095272,4.09153e-01,3.21953e-01,6.60250e+00,4.11897e-01,3.24169e-01,6.64163e+00,4.14802e-01,3.26357e-01,6.66351e+00
48,65.889517,10.310492,4.03198e-01,3.17267e-01,6.50640e+00,4.05977e-01,3.19510e-01,6.54617e+00,4.08911e-01,3.21724e-01,6.56888e+00
49,66.652495,10.508312,3.97142e-01,3.12501e-01,6.40867e+00,3.99953e-01,3.14769e-01,6.44903e+00,4.02916e-01,3.17008e-01,6.47256e+00
50,67.507029,10.708698,3.90988e-01,3.07658e-01,6.30937e+00,3.93830e-01,3.09951e-01,6.35031e+00,3.96819e-01,3.12212e-01,6.37463e+00
51,68.332488,10.936439,3.84742e-01,3.02742e-01,6.20858e+00,3.87614e-01,3.05058e-01,6.25007e+00,3.90627e-01,3.07341e-01,6.27516e+00
