epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,5.76364e-01,4.56950e-01,9.94665e+00,5.73539e-01,4.54029e-01,9.71895e+00,5.72983e-01,4.53630e-01,9.69255e+00
1,34.729821,0.305771,5.73087e-01,4.54432e-01,9.89009e+00,5.70883e-01,4.52020e-01,9.67394e+00,5.70401e-01,4.51681e-01,9.64888e+00
2,39.254106,0.629486,5.69862e-01,4.51948e-01,9.83443e+00,5.68269e-01,4.50035e-01,9.62965e+00,5.67860e-01,4.49756e-01,9.60590e+00
3,43.837803,0.977719,5.66530e-01,4.49375e-01,9.77694e+00,5.65569e-01,4.47978e-01,9.58389e+00,5.65236e-01,4.47760e-01,9.56150e+00
4,48.276468,1.286587,5.63091e-01,4.46711e-01,9.71758e+00,5.62781e-01,4.45846e-01,9.53665e+00,5.62526e-01,4.45691e-01,9.51567e+00
5,52.775717,1.628944,5.59542e-01,4.43954e-01,9.65634e+00,5.59905e-01,4.43637e-01,9.48792e+00,5.59730e-01,4.43548e-01,9.46837e+00
6,57.244399,1.962636,5.55883e-01,4.41104e-01,9.59319e+00,5.56939e-01,4.41351e-01,9.43767e+00,5.56848e-01,4.41329e-01,9.41962e+00
7,61.717486,2.276058,5.52113e-01,4.38157e-01,9.52813e+00,5.53884e-01,4.38986e-01,9.38589e+00,5.53878e-01,4.39034e-01,9.36938e+00
8,66.212152,2.623165,5.48230e-01,4.35112e-01,9.46113e+00,5.50739e-01,4.36540e-01,9.33259e+00,5.50821e-01,4.36659e-01,9.31766e+00
9,70.679740,2.984876,5.44236e-01,4.31969e-01,9.39219e+00,5.47503e-01,4.34012e-01,9.27775e+00,5.47675e-01,4.34205e-01,9.26445e+00
10,75.234208,3.328197,5.40128e-01,4.28726e-01,9.32131e+00,5.44176e-01,4.31401e-01,9.22138e+00,5.44442e-01,4.31669e-01,9.20976e+00
11,79.650824,3.641746,5.35908e-01,4.25382e-01,9.24848e+00,5.40759e-01,4.28706e-01,9.16348e+00,5.41121e-01,4.29052e-01,9.15358e+00
12,84.135437,3.968960,5.31576e-01,4.21935e-01,9.17372e+00,5.37252e-01,4.25925e-01,9.10405e+00,5.37713e-01,4.26350e-01,9.09592e+00
13,88.633563,4.284791,5.27132e-01,4.18385e-01,9.09703e+00,5.33656e-01,4.23058e-01,9.04312e+00,5.34218e-01,4.23565e-01,9.03680e+00
14,93.068320,4.599385,5.22577e-01,4.14732e-01,9.01842e+00,5.29972e-01,4.20103e-01,8.98069e+00,5.30637e-01,4.20694e-01,8.97624e+00
15,97.520998,4.930676,5.17913e-01,4.10974e-01,8.93793e+00,5.26201e-01,4.17061e-01,8.91679e+00,5.26973e-01,4.17737e-01,8.91425e+00
16,102.162877,5.275878,5.13141e-01,4.07112e-01,8.85557e+00,5.22346e-01,4.13931e-01,8.85146e+00,5.23226e-01,4.14695e-01,8.85087e+00
17,107.059686,5.580296,5.08262e-01,4.03145e-01,8.77138e+00,5.18407e-01,4.10712e-01,8.78472e+00,5.19399e-01,4.11565e-01,8.78613e+00
18,111.984957,5.906035,5.03280e-01,3.99074e-01,8.68540e+00,5.14388e-01,4.07405e-01,8.71661e+00,5.15494e-01,4.08350e-01,8.72008e+00
19,116.945524,6.243968,4.98197e-01,3.94899e-01,8.59768e+00,5.10291e-01,4.04009e-01,8.64719e+00,5.11514e-01,4.05047e-01,8.65275e+00
20,121.855072,6.537280,4.93016e-01,3.90621e-01,8.50827e+00,5.06120e-01,4.00525e-01,8.57651e+00,5.07462e-01,4.01658e-01,8.58421e+00
21,126.766001,6.830861,4.87742e-01,3.86240e-01,8.41724e+00,5.01878e-01,3.96953e-01,8.50462e+00,5.03342e-01,3.98183e-01,8.51451e+00
22,131.741462,7.147329,4.82377e-01,3.81759e-01,8.32467e+00,4.97570e-01,3.93294e-01,8.43161e+00,4.99157e-01,3.94624e-01,8.44372e+00
23,136.390896,7.487531,4.76928e-01,3.77178e-01,8.23062e+00,4.93199e-01,3.89550e-01,8.35754e+00,4.94913e-01,3.90980e-01,8.37192e+00
24,140.923402,7.794723,4.71398e-01,3.72499e-01,8.13518e+00,4.88771e-01,3.85722e-01,8.28251e+00,4.90614e-01,3.87253e-01,8.29920e+00
25,145.608338,8.095256,4.65793e-01,3.67725e-01,8.03847e+00,4.84291e-01,3.81812e-01,8.20660e+00,4.86265e-01,3.83446e-01,8.22564e+00
26,150.230930,8.407598,4.60121e-01,3.62859e-01,7.94057e+00,4.79766e-01,3.77820e-01,8.12992e+00,4.81873e-01,3.79559e-01,8.15135e+00
