epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,4.17456e-01,3.29512e-01,1.51170e+02,4.16338e-01,3.28560e-01,1.56251e+02,4.16855e-01,3.28785e-01,1.63787e+02
1,15.625971,0.498104,4.08704e-01,3.22261e-01,1.48001e+02,4.07610e-01,3.21327e-01,1.52975e+02,4.08118e-01,3.21553e-01,1.60353e+02
2,16.393583,0.974819,4.00210e-01,3.15196e-01,1.44925e+02,3.99139e-01,3.14279e-01,1.49796e+02,3.99638e-01,3.14507e-01,1.57022e+02
3,17.154586,1.454845,3.91562e-01,3.07972e-01,1.41794e+02,3.90514e-01,3.07072e-01,1.46559e+02,3.91003e-01,3.07302e-01,1.53629e+02
4,17.914523,1.932287,3.82771e-01,3.00596e-01,1.38610e+02,3.81746e-01,2.99713e-01,1.43269e+02,3.82226e-01,2.99944e-01,1.50180e+02
5,18.689796,2.434487,3.73849e-01,2.93073e-01,1.35380e+02,3.72847e-01,2.92208e-01,1.39929e+02,3.73318e-01,2.92441e-01,1.46680e+02
6,19.417735,2.890754,3.64812e-01,2.85413e-01,1.32107e+02,3.63833e-01,2.84566e-01,1.36546e+02,3.64294e-01,2.84800e-01,1.43135e+02
7,20.186709,3.374786,3.55674e-01,2.77624e-01,1.28798e+02,3.54718e-01,2.76795e-01,1.33125e+02,3.55170e-01,2.77030e-01,1.39550e+02
8,21.000796,3.847193,3.46453e-01,2.69716e-01,1.25459e+02,3.45520e-01,2.68905e-01,1.29673e+02,3.45962e-01,2.69141e-01,1.35932e+02
9,21.749483,4.315058,3.37168e-01,2.61700e-01,1.22096e+02,3.36257e-01,2.60908e-01,1.26197e+02,3.36690e-01,2.61145e-01,1.32289e+02
10,22.515941,4.789711,3.27838e-01,2.53589e-01,1.18718e+02,3.26951e-01,2.52815e-01,1.22704e+02,3.27374e-01,2.53053e-01,1.28628e+02
11,23.315831,5.246610,3.18487e-01,2.45396e-01,1.15332e+02,3.17622e-01,2.44640e-01,1.19203e+02,3.18036e-01,2.44879e-01,1.24959e+02
12,24.083391,5.703963,3.09137e-01,2.37136e-01,1.11946e+02,3.08294e-01,2.36399e-01,1.15702e+02,3.08699e-01,2.36638e-01,1.21291e+02
13,24.843568,6.180684,2.99813e-01,2.28823e-01,1.08569e+02,2.98991e-01,2.28105e-01,1.12211e+02,2.99387e-01,2.28344e-01,1.17632e+02
14,25.584214,6.644409,2.90540e-01,2.20475e-01,1.05211e+02,2.89739e-01,2.19775e-01,1.08739e+02,2.90126e-01,2.20016e-01,1.13994e+02
15,26.320187,7.089581,2.81345e-01,2.12109e-01,1.01881e+02,2.80564e-01,2.11428e-01,1.05295e+02,2.80943e-01,2.11669e-01,1.10385e+02
16,27.062634,7.544183,2.72254e-01,2.03744e-01,9.85896e+01,2.71493e-01,2.03082e-01,1.01891e+02,2.71865e-01,2.03322e-01,1.06818e+02
17,27.782249,7.954300,2.63296e-01,1.95399e-01,9.53458e+01,2.62555e-01,1.94755e-01,9.85364e+01,2.62919e-01,1.94996e-01,1.03303e+02
18,28.551253,8.426527,2.54499e-01,1.87093e-01,9.21600e+01,2.53776e-01,1.86468e-01,9.52417e+01,2.54133e-01,1.86708e-01,9.98514e+01
19,29.312141,8.866535,2.45890e-01,1.78848e-01,8.90423e+01,2.45184e-01,1.78241e-01,9.20172e+01,2.45535e-01,1.78481e-01,9.64731e+01
20,30.062759,9.282535,2.37495e-01,1.70684e-01,8.60024e+01,2.36806e-01,1.70094e-01,8.88730e+01,2.37151e-01,1.70335e-01,9.31791e+01
