epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,5.43868e-01,4.24433e-01,8.10292e+01,5.45053e-01,4.25367e-01,8.53444e+01,5.45987e-01,4.25999e-01,8.59194e+01
1,44.009388,0.640361,5.40790e-01,4.22030e-01,8.05707e+01,5.42302e-01,4.23218e-01,8.49137e+01,5.43565e-01,4.24106e-01,8.55383e+01
2,45.627030,1.282793,5.37747e-01,4.19654e-01,8.01173e+01,5.39580e-01,4.21091e-01,8.44875e+01,5.41166e-01,4.22231e-01,8.51607e+01
3,47.198789,1.939818,5.34589e-01,4.17187e-01,7.96468e+01,5.36753e-01,4.18881e-01,8.40449e+01,5.38671e-01,4.20281e-01,8.47681e+01
4,48.703841,2.523242,5.31313e-01,4.14628e-01,7.91586e+01,5.33818e-01,4.16586e-01,8.35853e+01,5.36077e-01,4.18254e-01,8.43599e+01
5,50.325198,3.194344,5.27915e-01,4.11974e-01,7.86525e+01,5.30772e-01,4.14205e-01,8.31084e+01,5.33382e-01,4.16147e-01,8.39358e+01
6,51.846570,3.781765,5.24395e-01,4.09223e-01,7.81280e+01,5.27613e-01,4.11734e-01,8.26137e+01,5.30582e-01,4.13959e-01,8.34953e+01
7,53.359889,4.355392,5.20749e-01,4.06374e-01,7.75848e+01,5.24337e-01,4.09172e-01,8.21008e+01,5.27676e-01,4.11687e-01,8.30380e+01
8,54.845514,4.908425,5.16975e-01,4.03423e-01,7.70225e+01,5.20944e-01,4.06517e-01,8.15694e+01,5.24661e-01,4.09330e-01,8.25634e+01
9,56.392386,5.538177,5.13070e-01,4.00371e-01,7.64408e+01,5.17429e-01,4.03766e-01,8.10190e+01,5.21533e-01,4.06885e-01,8.20712e+01
10,57.976766,6.172201,5.09034e-01,3.97214e-01,7.58394e+01,5.13791e-01,4.00919e-01,8.04494e+01,5.18291e-01,4.04350e-01,8.15610e+01
11,59.563089,6.837987,5.04863e-01,3.93952e-01,7.52180e+01,5.10028e-01,3.97973e-01,7.98602e+01,5.14931e-01,4.01724e-01,8.10324e+01
12,61.119343,7.463930,5.00556e-01,3.90583e-01,7.45764e+01,5.06138e-01,3.94927e-01,7.92511e+01,5.11452e-01,3.99004e-01,8.04849e+01
13,62.666442,8.081527,4.96113e-01,3.87106e-01,7.39143e+01,5.02119e-01,3.91779e-01,7.86218e+01,5.07852e-01,3.96189e-01,7.99183e+01
14,64.230563,8.725263,4.91530e-01,3.83519e-01,7.32316e+01,4.97969e-01,3.88529e-01,7.79720e+01,5.04128e-01,3.93278e-01,7.93323e+01
