epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,2.14872e-01,2.09521e-01,3.46739e+00,2.14850e-01,2.09496e-01,3.46435e+00,2.14804e-01,2.09427e-01,3.45067e+00
1,22.205158,6.792218,1.84185e-01,1.78779e-01,2.97219e+00,1.84164e-01,1.78748e-01,2.96955e+00,1.84118e-01,1.78685e-01,2.95773e+00
2,33.890812,12.854048,1.58981e-01,1.53445e-01,2.56548e+00,1.58961e-01,1.53409e-01,2.56316e+00,1.58914e-01,1.53347e-01,2.55284e+00
3,45.742392,18.601509,1.36506e-01,1.30661e-01,2.20280e+00,1.36491e-01,1.30628e-01,2.20084e+00,1.36455e-01,1.30578e-01,2.19206e+00
4,57.404641,24.455244,1.14455e-01,1.07897e-01,1.84695e+00,1.14449e-01,1.07879e-01,1.84543e+00,1.14440e-01,1.07848e-01,1.83840e+00
5,69.399777,30.492721,9.28919e-02,8.46793e-02,1.49899e+00,9.28973e-02,8.46819e-02,1.49792e+00,9.29306e-02,8.46752e-02,1.49287e+00
6,81.529727,36.608723,7.57408e-02,6.41883e-02,1.22223e+00,7.57486e-02,6.41936e-02,1.22141e+00,7.58372e-02,6.42256e-02,1.21827e+00
7,93.211214,42.489871,6.62580e-02,5.02027e-02,1.06920e+00,6.62623e-02,5.02072e-02,1.06844e+00,6.64004e-02,5.02688e-02,1.06668e+00
8,105.073215,48.189896,6.24447e-02,4.25450e-02,1.00767e+00,6.24457e-02,4.25529e-02,1.00690e+00,6.26169e-02,4.26239e-02,1.00590e+00
9,116.881742,54.292230,6.10084e-02,3.85561e-02,9.84491e-01,6.10093e-02,3.85608e-02,9.83744e-01,6.11990e-02,3.86404e-02,9.83120e-01
10,128.158314,59.901228,6.04069e-02,3.63760e-02,9.74785e-01,6.04087e-02,3.63783e-02,9.74060e-01,6.06084e-02,3.64633e-02,9.73631e-01
11,140.312436,65.900403,6.01079e-02,3.51225e-02,9.69960e-01,6.01106e-02,3.51238e-02,9.69253e-01,6.03159e-02,3.52114e-02,9.68934e-01
12,152.100537,71.965420,5.99243e-02,3.43830e-02,9.66997e-01,5.99279e-02,3.43845e-02,9.66306e-01,6.01362e-02,3.44728e-02,9.66047e-01
13,163.171024,77.339157,5.97848e-02,3.39493e-02,9.64747e-01,5.97892e-02,3.39509e-02,9.64070e-01,5.99992e-02,3.40397e-02,9.63846e-01
14,175.606854,83.302893,5.96609e-02,3.37090e-02,9.62747e-01,5.96658e-02,3.37112e-02,9.62081e-01,5.98766e-02,3.38002e-02,9.61876e-01
15,187.997764,89.706343,5.95402e-02,3.35955e-02,9.60800e-01,5.95456e-02,3.35980e-02,9.60142e-01,5.97566e-02,3.36872e-02,9.59948e-01
16,200.601692,95.730601,5.94178e-02,3.35651e-02,9.58823e-01,5.94234e-02,3.35681e-02,9.58172e-01,5.96343e-02,3.36574e-02,9.57984e-01
17,213.383090,102.253852,5.92913e-02,3.35887e-02,9.56784e-01,5.92974e-02,3.35921e-02,9.56140e-01,5.95078e-02,3.36817e-02,9.55952e-01
18,225.490190,108.280097,5.91602e-02,3.36465e-02,9.54667e-01,5.91667e-02,3.36502e-02,9.54033e-01,5.93765e-02,3.37403e-02,9.53843e-01
19,238.093973,114.466986,5.90243e-02,3.37224e-02,9.52474e-01,5.90315e-02,3.37266e-02,9.51852e-01,5.92404e-02,3.38170e-02,9.51656e-01
20,250.371605,120.548046,5.88841e-02,3.38037e-02,9.50211e-01,5.88919e-02,3.38082e-02,9.49601e-01,5.91001e-02,3.38993e-02,9.49402e-01
21,261.964987,126.275856,5.87402e-02,3.38836e-02,9.47889e-01,5.87486e-02,3.38883e-02,9.47291e-01,5.89562e-02,3.39802e-02,9.47090e-01
22,273.729760,132.320857,5.85931e-02,3.39576e-02,9.45515e-01,5.86024e-02,3.39629e-02,9.44934e-01,5.88092e-02,3.40552e-02,9.44729e-01
23,285.040613,138.063632,5.84436e-02,3.40202e-02,9.43104e-01,5.84542e-02,3.40264e-02,9.42544e-01,5.86601e-02,3.41189e-02,9.42334e-01
24,295.915961,143.461492,5.82929e-02,3.40687e-02,9.40672e-01,5.83044e-02,3.40755e-02,9.40128e-01,5.85097e-02,3.41685e-02,9.39918e-01
25,307.128553,149.168487,5.81418e-02,3.41045e-02,9.38234e-01,5.81544e-02,3.41116e-02,9.37710e-01,5.83590e-02,3.42054e-02,9.37497e-01
26,317.939036,154.576544,5.79909e-02,3.41293e-02,9.35799e-01,5.80049e-02,3.41368e-02,9.35300e-01,5.82087e-02,3.42315e-02,9.35082e-01
27,328.955253,160.147640,5.78413e-02,3.41405e-02,9.33383e-01,5.78566e-02,3.41485e-02,9.32908e-01,5.80597e-02,3.42440e-02,9.32689e-01
28,340.000791,165.728397,5.76936e-02,3.41405e-02,9.31001e-01,5.77102e-02,3.41491e-02,9.30548e-01,5.79129e-02,3.42452e-02,9.30331e-01
29,350.953732,171.198800,5.75487e-02,3.41316e-02,9.28662e-01,5.75664e-02,3.41406e-02,9.28229e-01,5.77689e-02,3.42374e-02,9.28017e-01
30,362.243538,176.736141,5.74069e-02,3.41133e-02,9.26374e-01,5.74258e-02,3.41230e-02,9.25961e-01,5.76279e-02,3.42203e-02,9.25753e-01
31,373.604635,182.473311,5.72685e-02,3.40910e-02,9.24141e-01,5.72886e-02,3.41016e-02,9.23748e-01,5.74905e-02,3.41991e-02,9.23545e-01
32,383.586858,187.511893,5.71341e-02,3.40626e-02,9.21971e-01,5.71552e-02,3.40742e-02,9.21598e-01,5.73569e-02,3.41718e-02,9.21399e-01
33,394.650874,192.884561,5.70037e-02,3.40308e-02,9.19867e-01,5.70258e-02,3.40432e-02,9.19511e-01,5.72274e-02,3.41410e-02,9.19319e-01
34,405.606017,198.315171,5.68776e-02,3.39928e-02,9.17833e-01,5.69007e-02,3.40060e-02,9.17494e-01,5.71022e-02,3.41039e-02,9.17308e-01
35,416.620225,203.921646,5.67559e-02,3.39533e-02,9.15869e-01,5.67799e-02,3.39672e-02,9.15546e-01,5.69814e-02,3.40653e-02,9.15366e-01
36,427.598433,209.317025,5.66386e-02,3.39131e-02,9.13975e-01,5.66633e-02,3.39278e-02,9.13667e-01,5.68648e-02,3.40261e-02,9.13493e-01
37,438.624877,214.746084,5.65255e-02,3.38706e-02,9.12151e-01,5.65510e-02,3.38858e-02,9.11856e-01,5.67525e-02,3.39844e-02,9.11689e-01
38,449.252738,220.168450,5.64166e-02,3.38282e-02,9.10394e-01,5.64429e-02,3.38439e-02,9.10113e-01,5.66444e-02,3.39428e-02,9.09953e-01
39,459.860733,225.306522,5.63118e-02,3.37848e-02,9.08703e-01,5.63390e-02,3.38011e-02,9.08437e-01,5.65403e-02,3.39002e-02,9.08282e-01
40,470.964699,230.903937,5.62108e-02,3.37421e-02,9.07073e-01,5.62389e-02,3.37591e-02,9.06823e-01,5.64402e-02,3.38582e-02,9.06673e-01
41,481.569206,236.199776,5.61135e-02,3.36999e-02,9.05503e-01,5.61425e-02,3.37175e-02,9.05269e-01,5.63437e-02,3.38166e-02,9.05123e-01
42,491.657268,241.182475,5.60198e-02,3.36574e-02,9.03991e-01,5.60496e-02,3.36756e-02,9.03770e-01,5.62508e-02,3.37749e-02,9.03630e-01
43,502.798652,246.683943,5.59294e-02,3.36161e-02,9.02531e-01,5.59599e-02,3.36348e-02,9.02324e-01,5.61611e-02,3.37342e-02,9.02190e-01
44,513.593822,252.139720,5.58420e-02,3.35742e-02,9.01122e-01,5.58734e-02,3.35931e-02,9.00929e-01,5.60746e-02,3.36928e-02,9.00799e-01
45,524.563644,257.503739,5.57575e-02,3.35329e-02,8.99758e-01,5.57897e-02,3.35520e-02,8.99581e-01,5.59909e-02,3.36521e-02,8.99455e-01
46,535.937976,263.148957,5.56757e-02,3.34925e-02,8.98438e-01,5.57088e-02,3.35117e-02,8.98276e-01,5.59098e-02,3.36122e-02,8.98152e-01
47,546.784317,268.535946,5.55963e-02,3.34526e-02,8.97157e-01,5.56302e-02,3.34719e-02,8.97009e-01,5.58311e-02,3.35727e-02,8.96889e-01
