epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,2.80047e-02,2.24949e-02,4.83294e-01,2.86543e-02,2.30704e-02,4.85564e-01,2.87586e-02,2.31407e-02,4.86479e-01
1,23.595403,5.156585,2.60472e-02,2.03156e-02,4.49511e-01,2.69363e-02,2.09524e-02,4.56451e-01,2.70622e-02,2.10258e-02,4.57782e-01
2,33.817276,9.189209,2.49631e-02,1.91268e-02,4.30803e-01,2.59999e-02,1.98154e-02,4.40583e-01,2.61381e-02,1.98914e-02,4.42151e-01
3,44.284921,13.480457,2.39941e-02,1.82145e-02,4.14079e-01,2.50706e-02,1.89269e-02,4.24837e-01,2.52128e-02,1.90050e-02,4.26498e-01
4,54.334330,17.531496,2.31400e-02,1.74394e-02,3.99341e-01,2.42290e-02,1.81594e-02,4.10575e-01,2.43726e-02,1.82382e-02,4.12285e-01
5,64.736850,21.729558,2.23815e-02,1.66864e-02,3.86251e-01,2.35146e-02,1.74278e-02,3.98469e-01,2.36617e-02,1.75095e-02,4.00260e-01
6,74.355284,25.711404,2.17032e-02,1.59763e-02,3.74545e-01,2.28907e-02,1.67467e-02,3.87897e-01,2.30426e-02,1.68318e-02,3.89788e-01
7,84.674907,29.739473,2.10971e-02,1.53507e-02,3.64084e-01,2.23219e-02,1.61418e-02,3.78258e-01,2.24770e-02,1.62287e-02,3.80219e-01
8,95.080475,33.862759,2.05527e-02,1.47939e-02,3.54689e-01,2.18025e-02,1.55977e-02,3.69456e-01,2.19591e-02,1.56853e-02,3.71459e-01
9,104.839386,37.833548,2.00622e-02,1.42793e-02,3.46225e-01,2.13353e-02,1.50940e-02,3.61539e-01,2.14932e-02,1.51822e-02,3.63578e-01
10,115.074172,41.954608,1.96185e-02,1.38030e-02,3.38569e-01,2.09126e-02,1.46264e-02,3.54376e-01,2.10716e-02,1.47151e-02,3.56446e-01
11,125.052588,46.058323,1.92159e-02,1.33667e-02,3.31620e-01,2.05256e-02,1.41953e-02,3.47819e-01,2.06851e-02,1.42839e-02,3.49908e-01
12,134.686744,49.875354,1.88495e-02,1.29655e-02,3.25297e-01,2.01707e-02,1.37962e-02,3.41804e-01,2.03301e-02,1.38844e-02,3.43902e-01
13,145.579177,54.095723,1.85154e-02,1.25928e-02,3.19531e-01,1.98459e-02,1.34244e-02,3.36300e-01,2.00048e-02,1.35116e-02,3.38401e-01
14,156.097826,58.451069,1.82104e-02,1.22464e-02,3.14267e-01,1.95478e-02,1.30772e-02,3.31250e-01,1.97064e-02,1.31634e-02,3.33352e-01
15,166.916642,62.709642,1.79317e-02,1.19249e-02,3.09458e-01,1.92737e-02,1.27530e-02,3.26605e-01,1.94318e-02,1.28383e-02,3.28707e-01
16,177.692782,67.126779,1.76766e-02,1.16258e-02,3.05055e-01,1.90216e-02,1.24501e-02,3.22332e-01,1.91790e-02,1.25345e-02,3.24432e-01
17,188.203398,71.344243,1.74428e-02,1.13471e-02,3.01020e-01,1.87895e-02,1.21668e-02,3.18399e-01,1.89464e-02,1.22501e-02,3.20497e-01
18,198.553316,75.466221,1.72283e-02,1.10872e-02,2.97319e-01,1.85755e-02,1.19017e-02,3.14772e-01,1.87319e-02,1.19837e-02,3.16868e-01
19,208.652044,79.562349,1.70312e-02,1.08443e-02,2.93918e-01,1.83780e-02,1.16532e-02,3.11426e-01,1.85340e-02,1.17341e-02,3.13521e-01
20,218.720723,83.688946,1.68500e-02,1.06168e-02,2.90790e-01,1.81958e-02,1.14200e-02,3.08338e-01,1.83514e-02,1.14999e-02,3.10431e-01
21,228.562753,87.678247,1.66832e-02,1.04039e-02,2.87912e-01,1.80273e-02,1.12010e-02,3.05483e-01,1.81825e-02,1.12801e-02,3.07574e-01
22,238.820005,91.732751,1.65294e-02,1.02041e-02,2.85257e-01,1.78712e-02,1.09953e-02,3.02838e-01,1.80260e-02,1.10736e-02,3.04928e-01
23,248.777189,95.823965,1.63871e-02,1.00159e-02,2.82802e-01,1.77266e-02,1.08019e-02,3.00387e-01,1.78811e-02,1.08794e-02,3.02475e-01
24,259.043986,99.930792,1.62553e-02,9.83823e-03,2.80527e-01,1.75924e-02,1.06195e-02,2.98114e-01,1.77466e-02,1.06964e-02,3.00200e-01
25,269.287269,104.083484,1.61331e-02,9.66998e-03,2.78417e-01,1.74680e-02,1.04475e-02,2.96005e-01,1.76218e-02,1.05239e-02,2.98089e-01
26,278.600017,108.033666,1.60193e-02,9.51093e-03,2.76454e-01,1.73521e-02,1.02856e-02,2.94042e-01,1.75057e-02,1.03614e-02,2.96125e-01
27,288.648271,112.010039,1.59132e-02,9.35989e-03,2.74624e-01,1.72442e-02,1.01324e-02,2.92213e-01,1.73975e-02,1.02080e-02,2.94296e-01
28,298.999249,116.183734,1.58143e-02,9.21594e-03,2.72916e-01,1.71437e-02,9.98715e-03,2.90510e-01,1.72968e-02,1.00625e-02,2.92592e-01
29,308.645036,120.148288,1.57219e-02,9.07897e-03,2.71322e-01,1.70499e-02,9.84962e-03,2.88920e-01,1.72029e-02,9.92483e-03,2.91003e-01
30,319.031384,124.292327,1.56355e-02,8.94912e-03,2.69831e-01,1.69622e-02,9.71981e-03,2.87435e-01,1.71150e-02,9.79484e-03,2.89517e-01
31,329.325232,128.518379,1.55548e-02,8.82546e-03,2.68439e-01,1.68807e-02,9.59691e-03,2.86053e-01,1.70332e-02,9.67171e-03,2.88133e-01
32,339.302987,132.469448,1.54794e-02,8.70834e-03,2.67137e-01,1.68046e-02,9.48105e-03,2.84764e-01,1.69569e-02,9.55559e-03,2.86841e-01
33,349.543032,136.617151,1.54090e-02,8.59841e-03,2.65922e-01,1.67335e-02,9.37247e-03,2.83558e-01,1.68854e-02,9.44680e-03,2.85633e-01
34,360.045399,140.899148,1.53433e-02,8.49513e-03,2.64788e-01,1.66669e-02,9.27055e-03,2.82430e-01,1.68186e-02,9.34473e-03,2.84503e-01
35,370.123175,144.965573,1.52819e-02,8.39734e-03,2.63728e-01,1.66048e-02,9.17427e-03,2.81377e-01,1.67563e-02,9.24830e-03,2.83449e-01
36,380.212327,149.113797,1.52244e-02,8.30546e-03,2.62737e-01,1.65466e-02,9.08377e-03,2.80391e-01,1.66979e-02,9.15778e-03,2.82461e-01
37,390.677389,153.380669,1.51707e-02,8.21879e-03,2.61810e-01,1.64921e-02,8.99837e-03,2.79468e-01,1.66432e-02,9.07245e-03,2.81535e-01
38,400.994567,157.468960,1.51206e-02,8.13697e-03,2.60944e-01,1.64411e-02,8.91766e-03,2.78604e-01,1.65921e-02,8.99188e-03,2.80671e-01
39,411.559240,161.717388,1.50737e-02,8.06013e-03,2.60136e-01,1.63935e-02,8.84186e-03,2.77797e-01,1.65444e-02,8.91624e-03,2.79864e-01
40,422.102606,166.001525,1.50300e-02,7.98787e-03,2.59381e-01,1.63490e-02,8.77052e-03,2.77044e-01,1.64998e-02,8.84517e-03,2.79110e-01
41,432.511946,170.258803,1.49891e-02,7.92005e-03,2.58675e-01,1.63075e-02,8.70359e-03,2.76340e-01,1.64581e-02,8.77855e-03,2.78405e-01
42,443.026016,174.489841,1.49510e-02,7.85534e-03,2.58017e-01,1.62688e-02,8.63965e-03,2.75684e-01,1.64194e-02,8.71495e-03,2.77749e-01
43,453.189919,178.505873,1.49153e-02,7.79405e-03,2.57403e-01,1.62326e-02,8.57919e-03,2.75071e-01,1.63831e-02,8.65480e-03,2.77136e-01
44,463.545626,182.676130,1.48820e-02,7.73583e-03,2.56828e-01,1.61989e-02,8.52180e-03,2.74499e-01,1.63493e-02,8.59768e-03,2.76564e-01
45,474.197835,187.042840,1.48508e-02,7.68031e-03,2.56288e-01,1.61673e-02,8.46719e-03,2.73964e-01,1.63176e-02,8.54332e-03,2.76028e-01
46,483.824793,191.006519,1.48214e-02,7.62803e-03,2.55781e-01,1.61376e-02,8.41581e-03,2.73461e-01,1.62879e-02,8.49221e-03,2.75525e-01
47,494.006987,195.044746,1.47938e-02,7.57813e-03,2.55305e-01,1.61097e-02,8.36699e-03,2.72988e-01,1.62599e-02,8.44370e-03,2.75052e-01
48,504.447746,199.274790,1.47678e-02,7.53012e-03,2.54857e-01,1.60836e-02,8.32033e-03,2.72545e-01,1.62338e-02,8.39737e-03,2.74610e-01
49,514.826085,203.392230,1.47434e-02,7.48441e-03,2.54435e-01,1.60590e-02,8.27623e-03,2.72130e-01,1.62092e-02,8.35363e-03,2.74195e-01
50,524.867533,207.471891,1.47202e-02,7.44085e-03,2.54035e-01,1.60360e-02,8.23445e-03,2.71740e-01,1.61862e-02,8.31217e-03,2.73804e-01
51,534.855836,211.541888,1.46984e-02,7.40008e-03,2.53658e-01,1.60142e-02,8.19554e-03,2.71370e-01,1.61643e-02,8.27357e-03,2.73435e-01
52,545.182337,215.804216,1.46777e-02,7.36087e-03,2.53301e-01,1.59937e-02,8.15835e-03,2.71022e-01,1.61438e-02,8.23673e-03,2.73087e-01
53,554.975482,219.817429,1.46580e-02,7.32351e-03,2.52962e-01,1.59743e-02,8.12317e-03,2.70694e-01,1.61244e-02,8.20187e-03,2.72759e-01
54,565.079050,223.838592,1.46395e-02,7.28794e-03,2.52642e-01,1.59560e-02,8.08984e-03,2.70384e-01,1.61060e-02,8.16886e-03,2.72449e-01
55,575.371957,228.052019,1.46219e-02,7.25401e-03,2.52338e-01,1.59387e-02,8.05834e-03,2.70090e-01,1.60887e-02,8.13765e-03,2.72156e-01
56,585.332815,232.142403,1.46051e-02,7.22124e-03,2.52049e-01,1.59223e-02,8.02810e-03,2.69813e-01,1.60723e-02,8.10771e-03,2.71878e-01
57,595.361400,236.214442,1.45893e-02,7.19021e-03,2.51775e-01,1.59068e-02,7.99971e-03,2.69550e-01,1.60567e-02,8.07957e-03,2.71615e-01
58,605.353413,240.285698,1.45742e-02,7.16049e-03,2.51516e-01,1.58921e-02,7.97273e-03,2.69301e-01,1.60420e-02,8.05288e-03,2.71366e-01
59,615.660595,244.429598,1.45600e-02,7.13216e-03,2.51270e-01,1.58782e-02,7.94724e-03,2.69065e-01,1.60280e-02,8.02767e-03,2.71129e-01
60,625.857828,248.507007,1.45464e-02,7.10534e-03,2.51035e-01,1.58649e-02,7.92334e-03,2.68840e-01,1.60147e-02,8.00407e-03,2.70904e-01
61,635.974366,252.609530,1.45334e-02,7.07907e-03,2.50812e-01,1.58523e-02,7.89997e-03,2.68627e-01,1.60021e-02,7.98102e-03,2.70691e-01
62,646.363358,256.866780,1.45210e-02,7.05498e-03,2.50598e-01,1.58403e-02,7.87866e-03,2.68422e-01,1.59900e-02,7.96004e-03,2.70487e-01
63,656.479519,261.029538,1.45092e-02,7.03116e-03,2.50394e-01,1.58288e-02,7.85761e-03,2.68228e-01,1.59786e-02,7.93932e-03,2.70293e-01
64,666.640541,265.049506,1.44979e-02,7.00902e-03,2.50199e-01,1.58178e-02,7.83826e-03,2.68042e-01,1.59676e-02,7.92025e-03,2.70107e-01
65,676.714037,269.272707,1.44871e-02,6.98718e-03,2.50012e-01,1.58073e-02,7.81926e-03,2.67865e-01,1.59571e-02,7.90154e-03,2.69929e-01
66,686.170077,273.044987,1.44767e-02,6.96632e-03,2.49833e-01,1.57973e-02,7.80124e-03,2.67695e-01,1.59470e-02,7.88382e-03,2.69759e-01
67,695.835733,276.952476,1.44667e-02,6.94660e-03,2.49661e-01,1.57877e-02,7.78433e-03,2.67531e-01,1.59374e-02,7.86721e-03,2.69596e-01
68,705.865390,281.135352,1.44572e-02,6.92787e-03,2.49495e-01,1.57784e-02,7.76836e-03,2.67375e-01,1.59281e-02,7.85148e-03,2.69439e-01
69,716.179975,285.200010,1.44480e-02,6.90993e-03,2.49337e-01,1.57695e-02,7.75322e-03,2.67224e-01,1.59192e-02,7.83660e-03,2.69288e-01
