epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
0,,,2.40630e-01,2.38812e-01,8.71377e+01,2.40528e-01,2.38711e-01,9.02699e+01,2.40385e-01,2.38577e-01,9.44496e+01
1,12.920346,4.017889,2.22468e-01,2.20249e-01,8.05608e+01,2.22356e-01,2.20136e-01,8.34498e+01,2.22197e-01,2.19989e-01,8.73034e+01
2,18.630667,6.844978,2.03251e-01,2.00424e-01,7.36020e+01,2.03127e-01,2.00298e-01,7.62331e+01,2.02947e-01,2.00131e-01,7.97397e+01
3,24.013093,9.485323,1.82465e-01,1.78719e-01,6.60750e+01,1.82318e-01,1.78569e-01,6.84238e+01,1.82118e-01,1.78384e-01,7.15561e+01
4,29.438776,12.101654,1.60065e-01,1.55008e-01,5.79634e+01,1.59893e-01,1.54834e-01,6.00076e+01,1.59681e-01,1.54637e-01,6.27401e+01
5,34.877611,14.778049,1.37218e-01,1.30359e-01,4.96897e+01,1.37033e-01,1.30173e-01,5.14283e+01,1.36815e-01,1.29973e-01,5.37559e+01
6,40.149666,17.376902,1.15494e-01,1.06324e-01,4.18231e+01,1.15304e-01,1.06131e-01,4.32733e+01,1.15084e-01,1.05938e-01,4.52176e+01
7,45.580348,20.107718,9.60713e-02,8.43986e-02,3.47896e+01,9.58798e-02,8.42057e-02,3.59835e+01,9.56584e-02,8.40255e-02,3.75851e+01
8,51.096814,22.872737,7.96160e-02,6.57874e-02,2.88308e+01,7.94268e-02,6.56008e-02,2.98088e+01,7.92038e-02,6.54302e-02,3.11200e+01
9,56.389346,25.479713,6.62478e-02,5.09747e-02,2.39899e+01,6.60649e-02,5.08034e-02,2.47941e+01,6.58395e-02,5.06374e-02,2.58690e+01
10,61.848054,28.124940,5.56545e-02,3.96824e-02,2.01538e+01,5.54772e-02,3.95249e-02,2.08205e+01,5.52532e-02,3.93652e-02,2.17095e+01
11,67.601662,30.935248,4.73378e-02,3.12465e-02,1.71421e+01,4.71674e-02,3.11001e-02,1.77018e+01,4.69459e-02,3.09498e-02,1.84455e+01
12,73.024967,33.682058,4.07952e-02,2.49677e-02,1.47729e+01,4.06328e-02,2.48349e-02,1.52494e+01,4.04138e-02,2.46923e-02,1.58790e+01
13,78.493878,36.443558,3.56029e-02,2.02624e-02,1.28926e+01,3.54488e-02,2.01444e-02,1.33039e+01,3.52325e-02,2.00077e-02,1.38432e+01
14,83.859013,39.167148,3.14330e-02,1.66933e-02,1.13826e+01,3.12870e-02,1.65861e-02,1.17420e+01,3.10735e-02,1.64587e-02,1.22091e+01
15,88.958737,41.790258,2.80407e-02,1.39486e-02,1.01542e+01,2.79031e-02,1.38499e-02,1.04720e+01,2.76918e-02,1.37319e-02,1.08804e+01
16,94.108686,44.310004,2.52453e-02,1.18053e-02,9.14190e+00,2.51160e-02,1.17162e-02,9.42600e+00,2.49066e-02,1.16050e-02,9.78603e+00
17,99.372167,46.900156,2.29137e-02,1.01083e-02,8.29760e+00,2.27922e-02,1.00277e-02,8.55388e+00,2.25847e-02,9.92264e-03,8.87375e+00
18,104.529073,49.436550,2.09469e-02,8.74623e-03,7.58536e+00,2.08322e-02,8.67341e-03,7.81828e+00,2.06271e-02,8.57403e-03,8.10459e+00
19,109.780568,51.989979,1.92704e-02,7.63861e-03,6.97825e+00,1.91619e-02,7.57132e-03,7.19144e+00,1.89593e-02,7.47894e-03,7.44930e+00
20,114.842385,54.507476,1.78282e-02,6.72751e-03,6.45599e+00,1.77256e-02,6.66559e-03,6.65240e+00,1.75252e-02,6.57918e-03,6.88583e+00
21,120.073941,57.118160,1.65770e-02,5.97051e-03,6.00291e+00,1.64801e-02,5.91296e-03,6.18494e+00,1.62817e-02,5.83216e-03,6.39722e+00
22,125.511579,59.863805,1.54830e-02,5.33508e-03,5.60676e+00,1.53915e-02,5.28183e-03,5.77639e+00,1.51949e-02,5.20616e-03,5.97022e+00
23,130.777245,62.521791,1.45200e-02,4.79708e-03,5.25803e+00,1.44336e-02,4.74837e-03,5.41690e+00,1.42386e-02,4.67685e-03,5.59447e+00
24,136.197240,65.260470,1.36669e-02,4.33789e-03,4.94910e+00,1.35852e-02,4.29380e-03,5.09849e+00,1.33916e-02,4.22539e-03,5.26170e+00
