epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
1,1.2400000000e+01,3.3800000000e+00,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
2,2.5100000000e+01,6.7300000000e+00,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
3,3.7300000000e+01,1.0080000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
4,4.9400000000e+01,1.3190000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
5,6.1900000000e+01,1.6640000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
6,7.4300000000e+01,1.9880000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
7,8.6300000000e+01,2.3160000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
8,9.8800000000e+01,2.6560000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
9,1.1170000000e+02,3.0150000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
10,1.2440000000e+02,3.3590000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
11,1.3700000000e+02,3.7050000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
12,1.4980000000e+02,4.0650000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
13,1.6210000000e+02,4.3920000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
14,1.7490000000e+02,4.7370000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
15,1.8740000000e+02,5.0800000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
16,2.0000000000e+02,5.4160000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
17,2.1280000000e+02,5.7690000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
18,2.2510000000e+02,6.1050000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
19,2.3740000000e+02,6.4270000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
20,2.4960000000e+02,6.7510000000e+01,5.9519841850e-02,4.1882776068e-02,9.6047075916e-01,5.9512966611e-02,4.1803713358e-02,9.5961599430e-01,5.9659607330e-02,4.1819675805e-02,9.5839035938e-01
