epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
1,4.0300000000e+00,8.8000000000e-01,5.7944102539e-02,5.6080576062e-02,9.9997494311e-01,5.9011190290e-02,5.6845089401e-02,9.9997940451e-01,5.9114586455e-02,5.6912826793e-02,9.9997953576e-01
2,1.0803000000e+02,1.8400000000e+00,5.7943023830e-02,5.6079491495e-02,9.9995632722e-01,5.9010648449e-02,5.6844532356e-02,9.9997022269e-01,5.9114052892e-02,5.6912278608e-02,9.9997051003e-01
3,2.1203000000e+02,2.9200000000e+00,5.7941270869e-02,5.6077746140e-02,9.9992607535e-01,5.9009981057e-02,5.6843847447e-02,9.9995891334e-01,5.9113396610e-02,5.6911605685e-02,9.9995940839e-01
4,3.1603000000e+02,3.8870000000e+00,5.7938423688e-02,5.6074933822e-02,9.9987693989e-01,5.9009174805e-02,5.6843021091e-02,9.9994525091e-01,5.9112604732e-02,5.6910794952e-02,9.9994601302e-01
5,4.2403000000e+02,5.2670000000e+00,5.7933817639e-02,5.6070409756e-02,9.9979745064e-01,5.9008213789e-02,5.6842037139e-02,9.9992896594e-01,5.9111661916e-02,5.6909830876e-02,9.9993006438e-01
6,5.3003000000e+02,7.0170000000e+00,5.7926363664e-02,5.6063113956e-02,9.9966881308e-01,5.9007076269e-02,5.6840873501e-02,9.9990969000e-01,5.9110546774e-02,5.6908691879e-02,9.9991120069e-01
7,6.3703000000e+02,8.3670000000e+00,5.7914174143e-02,5.6051198232e-02,9.9945845145e-01,5.9005722827e-02,5.6839490089e-02,9.9988675512e-01,5.9109221165e-02,5.6907339348e-02,9.9988877676e-01
8,7.5003000000e+02,9.7970000000e+00,5.7893791792e-02,5.6031249953e-02,9.9910670141e-01,5.9004071918e-02,5.6837803873e-02,9.9985877950e-01,5.9107604617e-02,5.6905691659e-02,9.9986143130e-01
9,8.5803000000e+02,1.1057000000e+01,5.7858662995e-02,5.5996733901e-02,9.9850046340e-01,5.9001943386e-02,5.6835630537e-02,9.9982271026e-01,5.9105521470e-02,5.6903569534e-02,9.9982619289e-01
10,9.6603000000e+02,1.2377000000e+01,5.7796378081e-02,5.5935123527e-02,9.9742557657e-01,5.8998961060e-02,5.6832583042e-02,9.9977217298e-01,5.9102604934e-02,5.6900597001e-02,9.9977685691e-01
11,1.0750300000e+03,1.4007000000e+01,5.7684271741e-02,5.5823225213e-02,9.9549089252e-01,5.8994395016e-02,5.6827906183e-02,9.9969479868e-01,5.9098143983e-02,5.6896038650e-02,9.9970139568e-01
12,1.1830300000e+03,1.5467000000e+01,5.7484094566e-02,5.5621254702e-02,9.9203631906e-01,5.8986985011e-02,5.6820273840e-02,9.9956923178e-01,5.9090902896e-02,5.6888599365e-02,9.9957890579e-01
13,1.2970300000e+03,1.7467000000e+01,5.7138212274e-02,5.5268055249e-02,9.8606722797e-01,5.8974796484e-02,5.6807607833e-02,9.9936269000e-01,5.9079006401e-02,5.6876263081e-02,9.9937766524e-01
14,1.4070300000e+03,1.9387000000e+01,5.6570912968e-02,5.4681001214e-02,9.7627701524e-01,5.8955322297e-02,5.6787072322e-02,9.9903268843e-01,5.9060025437e-02,5.6856286872e-02,9.9905658416e-01
15,1.5180300000e+03,2.1257000000e+01,5.5696666369e-02,5.3761973739e-02,9.6118963525e-01,5.8925873182e-02,5.6755301207e-02,9.9853365581e-01,5.9031340538e-02,5.6825389095e-02,9.9857135178e-01
16,1.6290300000e+03,2.3257000000e+01,5.4432226202e-02,5.2405146736e-02,9.3936845882e-01,5.8884113796e-02,5.6708635927e-02,9.9782601840e-01,5.8990679382e-02,5.6780032570e-02,9.9788352959e-01
17,1.7390300000e+03,2.5347000000e+01,5.2709216006e-02,5.0501439227e-02,9.0963347378e-01,5.8828683028e-02,5.6643376747e-02,9.9688671137e-01,5.8936640871e-02,5.6716570362e-02,9.9696941670e-01
18,1.8490300000e+03,2.7307000000e+01,5.0488665807e-02,4.7939476417e-02,8.7131215267e-01,5.8759507481e-02,5.6555644955e-02,9.9571449095e-01,5.8869165046e-02,5.6631202022e-02,9.9582799886e-01
19,1.9590300000e+03,2.9107000000e+01,4.7790782720e-02,4.4607768537e-02,8.2475322142e-01,5.8678711774e-02,5.6441452915e-02,9.9434536006e-01,5.8790403729e-02,5.6520234683e-02,9.9449567616e-01
20,2.0720300000e+03,3.1307000000e+01,4.4730367582e-02,4.0392120337e-02,7.7193786456e-01,5.8591352449e-02,5.6296981610e-02,9.9286500481e-01,5.8705021881e-02,5.6379701921e-02,9.9305136088e-01
