epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
1,9.1000000000e+00,2.5900000000e+00,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
2,1.8650000000e+01,5.1200000000e+00,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
3,2.7850000000e+01,7.6500000000e+00,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
4,3.7240000000e+01,1.0180000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
5,4.6310000000e+01,1.2720000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
6,5.5650000000e+01,1.5340000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
7,6.4400000000e+01,1.7630000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
8,7.3560000000e+01,2.0120000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
9,8.2610000000e+01,2.2580000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
10,9.1800000000e+01,2.5150000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
11,1.0135000000e+02,2.7600000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
12,1.1029000000e+02,3.0120000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
13,1.1970000000e+02,3.2730000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
14,1.2893000000e+02,3.5230000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
15,1.3819000000e+02,3.7690000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
16,1.4726000000e+02,4.0240000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
17,1.5677000000e+02,4.2920000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
18,1.6615000000e+02,4.5470000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
19,1.7579000000e+02,4.8250000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
20,1.8509000000e+02,5.0670000000e+01,2.7631915335e-03,3.7700617511e-04,1.0006158249e+00,2.6658846410e-03,3.7672168875e-04,1.0005020335e+00,2.5469688072e-03,3.7504740227e-04,1.0007291423e+00
